Case, Edge List               , Worst Case Efficiency, Action Sets                      , Target Values
   1, "(1, 2)                ", 1/3                  , "A1: {1, 2}, A2: {1}, A3: {1, 3}", "T1: 1/3, T2: 1/3, T3: 1/3"
   2, "(1, 3)                ", 1/3                  , "A1: {1, 2}, A2: {1, 3}, A3: {1}", "T1: 1/3, T2: 1/3, T3: 1/3"
   3, "(2, 3)                ", 1/3                  , "A1: {1, 2}, A2: {1, 3}, A3: {1}", "T1: 1/3, T2: 1/3, T3: 1/3"
   4, "(1, 2), (1, 3)        ", 1/2                  , "A1: {1, 2}, A2: {1}            ", "T1: 1/2, T2: 1/2"
   5, "(1, 2), (2, 3)        ", 1/2                  , "A1: {1, 2}, A2: {1}            ", "T1: 1/2, T2: 1/2"
   6, "(1, 3), (2, 3)        ", 1/3                  , "A1: {1, 2}, A2: {1, 3}, A3: {1}", "T1: 1/3, T2: 1/3, T3: 1/3"
   7, "(1, 2), (1, 3), (2, 3)", 1/2                  , "A1: {1, 2}, A2: {1}            ", "T1: 1/2, T2: 1/2"
